Date, Open, High, Low, Close
05/31/12, 6.3543, 6.3696, 6.3543, 6.3696
05/30/12, 6.3381, 6.3543, 6.3381, 6.3543
05/29/12, 6.3359, 6.3381, 6.3359, 6.3381
05/28/12, 6.3379, 6.3379, 6.3359, 6.3359
05/25/12, 6.3375, 6.3379, 6.3375, 6.3379
05/24/12, 6.3300, 6.3375, 6.3300, 6.3375
05/23/12, 6.3199, 6.3300, 6.3199, 6.3300
05/22/12, 6.3209, 6.3209, 6.3199, 6.3199
05/21/12, 6.3259, 6.3259, 6.3209, 6.3209
05/18/12, 6.3219, 6.3259, 6.3219, 6.3259
05/17/12, 6.3190, 6.3219, 6.3190, 6.3219
05/16/12, 6.3209, 6.3209, 6.3190, 6.3190
05/15/12, 6.3224, 6.3224, 6.3209, 6.3209
05/14/12, 6.3113, 6.3224, 6.3113, 6.3224
05/11/12, 6.3152, 6.3152, 6.3113, 6.3113
05/10/12, 6.3108, 6.3152, 6.3108, 6.3152
05/09/12, 6.3092, 6.3108, 6.3092, 6.3108
05/08/12, 6.2987, 6.3092, 6.2987, 6.3092
05/07/12, 6.2928, 6.2987, 6.2928, 6.2987
05/04/12, 6.2918, 6.2928, 6.2918, 6.2928
05/03/12, 6.2770, 6.2918, 6.2770, 6.2918
05/02/12, 6.2786, 6.2786, 6.2770, 6.2770
05/01/12, 6.2796, 6.2796, 6.2786, 6.2786
04/30/12, 6.2820, 6.2820, 6.2796, 6.2796
04/27/12, 6.2967, 6.2967, 6.2820, 6.2820
04/26/12, 6.3052, 6.3052, 6.2967, 6.2967
04/25/12, 6.3040, 6.3052, 6.3040, 6.3052
04/24/12, 6.3076, 6.3076, 6.3040, 6.3040
04/23/12, 6.3038, 6.3076, 6.3038, 6.3076
04/20/12, 6.3031, 6.3038, 6.3031, 6.3038
04/19/12, 6.3006, 6.3031, 6.3006, 6.3031
04/18/12, 6.3031, 6.3031, 6.3006, 6.3006
04/17/12, 6.3067, 6.3067, 6.3031, 6.3031
04/16/12, 6.2978, 6.3067, 6.2978, 6.3067
04/13/12, 6.3071, 6.3071, 6.2978, 6.2978
04/12/12, 6.3089, 6.3089, 6.3071, 6.3071
04/11/12, 6.3099, 6.3099, 6.3089, 6.3089
04/10/12, 6.3091, 6.3099, 6.3091, 6.3099
04/09/12, 6.3064, 6.3091, 6.3064, 6.3091
04/06/12, 6.3103, 6.3103, 6.3064, 6.3064
04/05/12, 6.2981, 6.3103, 6.2981, 6.3103
04/04/12, 6.2955, 6.2981, 6.2955, 6.2981
04/03/12, 6.2963, 6.2963, 6.2955, 6.2955
04/02/12, 6.2964, 6.2964, 6.2963, 6.2963
03/30/12, 6.3003, 6.3003, 6.2964, 6.2964
